dataset,fold,train_size,model,auroc,auprc,brier,train_time,inf_time
MI,28,200,CatBoost,0.8894557823129252,0.7799826867361408,0.10711547535371833,0.3042603910434991,1.8823165446519852e-06
MI,28,200,RandomForest,0.900132275132275,0.7746056031760304,0.09681676365855708,0.20585255604237318,0.00012856930866837502
MI,28,200,TabPFN,,,,,
MI,28,200,TabICL,0.9355631141345427,0.7956784966366279,0.08766208517095149,0.15374907292425632,0.00013318580016493796
MI,28,500,XGBoost,0.904572940287226,0.8141848817726671,0.08534517782307045,0.21256104903295636,7.177220657467842e-06
MI,28,500,LightGBM,0.9048563869992441,0.8103379576949762,0.08664891153023854,0.14066590601578355,3.8207918405532836e-06
MI,28,500,CatBoost,0.8936130007558579,0.8033432228196791,0.08512532097376474,0.43117566010914743,2.5062207132577897e-06
MI,28,500,RandomForest,0.8877078609221466,0.8021452431618774,0.08624738706726305,0.21540142805315554,0.00012799135595560073
MI,28,500,TabPFN,,,,,
MI,28,500,TabICL,0.9480347694633409,0.8558968302028511,0.07430773463004434,0.15366512816399336,0.00017496394738554955
MI,28,1003,XGBoost,0.9152494331065759,0.8353183820091181,0.0729374412947904,0.22368577518500388,8.003040216863156e-06
MI,28,1003,LightGBM,0.9184618291761149,0.8510335232685635,0.07190150116146066,0.16660631890408695,3.7416834384202956e-06
MI,28,1003,CatBoost,0.9168556311413454,0.8425089309022153,0.07110539270102416,0.42419053497724235,2.447855658829212e-06
MI,28,1003,RandomForest,0.9165721844293273,0.8370388819181646,0.07223867334490298,0.21936091990210116,0.00012868302781134843
MI,28,1003,TabPFN,,,,,
MI,28,1003,TabICL,0.9439720332577476,0.8532694388824966,0.07421723659546672,0.15491520194336772,0.00025062139239162204
MI,29,50,XGBoost,0.9257808857808858,0.8259152592676888,0.07243372363726443,0.10819245199672878,5.482040345668793e-06
MI,29,50,LightGBM,0.6710955710955712,0.3156843910806175,0.15772911052946606,0.011397792026400566,1.8521156162023544e-06
MI,29,50,CatBoost,0.932027972027972,0.8080838379971084,0.0915103636028721,0.22528007486835122,1.8108198419213296e-06
MI,29,50,RandomForest,0.940932400932401,0.8196172540859388,0.07952270359156463,0.1956993700005114,8.751948736608029e-05
MI,29,50,TabPFN,,,,,
MI,29,50,TabICL,0.9448951048951049,0.8508122348691661,0.07158576598290595,0.1525833960622549,0.00011464354023337364
MI,29,100,XGBoost,0.9396270396270398,0.8259174376863063,0.0838030754291434,0.1409773959312588,5.5790161713957784e-06
MI,29,100,LightGBM,0.8298368298368299,0.5129881552592683,0.1341894786463126,0.04862308199517429,2.614368684589863e-06
MI,29,100,CatBoost,0.9437762237762238,0.822383814647728,0.08712744504881548,0.2683338529895991,2.987440675497055e-06
MI,29,100,RandomForest,0.947972027972028,0.836751295984599,0.0800156174726331,0.20067219017073512,0.0001282122991979122
MI,29,100,TabPFN,,,,,
MI,29,100,TabICL,0.9661538461538461,0.8945511326600584,0.06673611341534579,0.15702633396722376,0.00011469489242881536
MI,29,200,XGBoost,0.9342191142191143,0.8250539838165126,0.08226806714474225,0.1602640701457858,5.961783230304718e-06
MI,29,200,LightGBM,0.9361771561771564,0.8351144667359097,0.0796691170214203,0.0775761001277715,3.034468740224838e-06
MI,29,200,CatBoost,0.9311888111888111,0.796150300376263,0.09610562584405648,0.28532874584198,1.8720598891377448e-06
MI,29,200,RandomForest,0.9459207459207459,0.8375484887898987,0.07997218101228737,0.20354864792898297,0.00012941688019782306
MI,29,200,TabPFN,,,,,
MI,29,200,TabICL,0.9684848484848485,0.8928972312851493,0.060892132271216336,0.15917677083052695,0.00013289083167910575
MI,29,500,XGBoost,0.9635431235431235,0.8778682479140454,0.062124003974783966,0.21121186902746558,7.345371879637242e-06
MI,29,500,LightGBM,0.9394871794871794,0.8500457206764049,0.06570823188278298,0.12155217095278203,3.436979837715626e-06
MI,29,500,CatBoost,0.9646620046620046,0.8547341129668868,0.06204418150186768,0.3190379550214857,1.79431214928627e-06
MI,29,500,RandomForest,0.9614452214452215,0.8875535894295472,0.05903175912114234,0.21336545888334513,0.0001287505207583308
MI,29,500,TabPFN,,,,,
MI,29,500,TabICL,0.9753846153846154,0.9087665826429907,0.05400923089168604,0.15991111402399838,0.0001748667759820819
MI,29,1003,XGBoost,0.9742657342657343,0.9211698982174977,0.050511000908757764,0.22688702098093927,7.672060281038284e-06
MI,29,1003,LightGBM,0.9764102564102564,0.9248492600317515,0.0496297514678093,0.1798935979604721,3.947648219764233e-06
MI,29,1003,CatBoost,0.9722144522144522,0.9203337051333977,0.04996736994103289,0.36397729604505,1.9507287070155145e-06
MI,29,1003,RandomForest,0.9758508158508159,0.9221243557344199,0.051372643393325375,0.223969757091254,0.00012885670457035304
MI,29,1003,TabPFN,,,,,
MI,29,1003,TabICL,0.9744522144522144,0.9098575664785737,0.05374823205104175,0.15856796014122665,0.00025153577141463757
MI,30,50,XGBoost,0.9200371057513914,0.8350133545111345,0.07632548477010223,0.10582366515882313,5.041334436709187e-06
MI,30,50,LightGBM,0.5456864564007421,0.23711114289975316,0.17082778900503295,0.010440071113407612,1.8071943515562916e-06
MI,30,50,CatBoost,0.9270408163265307,0.7074319456815873,0.11327386242777439,0.2745115151628852,1.8252271312878902e-06
MI,30,50,RandomForest,0.9448515769944341,0.8108658252326505,0.08929819920318725,0.2034455849789083,0.00012676685629227008
MI,30,50,TabPFN,,,,,
